Effective equivalent stratospheric chlorine (EESC)
Follwing Newman et al. (2007). ACP, 7, 4537-4552. 
Eq.1 with a = 1 for each ODS, calculate Cl/Br atoms * halogen release efficiency * gas mmr. multiply Br ODS by 60, and add them all up. (n*f*rho)
Month -  EESC 5.5yr [ppt]
    1994.042    4462.511
    1994.125    4462.790
    1994.208    4462.957
    1994.292    4463.173
    1994.375    4463.403
    1994.458    4463.619
    1994.542    4463.667
    1994.625    4463.885
    1994.708    4464.113
    1994.792    4464.328
    1994.875    4464.498
    1994.958    4464.775
    1995.042    4463.822
    1995.125    4462.005
    1995.208    4460.172
    1995.292    4458.413
    1995.375    4456.582
    1995.458    4454.761
    1995.542    4452.812
    1995.625    4450.990
    1995.708    4449.160
    1995.792    4447.400
    1995.875    4445.573
    1995.958    4443.749
    1996.042    4441.670
    1996.125    4439.329
    1996.208    4436.990
    1996.292    4434.613
    1996.375    4432.271
    1996.458    4429.933
    1996.542    4427.724
    1996.625    4425.383
    1996.708    4423.044
    1996.792    4420.667
    1996.875    4418.326
    1996.958    4415.987
    1997.042    4414.167
    1997.125    4412.783
    1997.208    4411.355
    1997.292    4409.911
    1997.375    4408.486
    1997.458    4407.099
    1997.542    4405.674
    1997.625    4404.290
    1997.708    4402.863
    1997.792    4401.418
    1997.875    4399.992
    1997.958    4398.603
    1998.042    4396.965
    1998.125    4395.170
    1998.208    4393.266
    1998.292    4391.462
    1998.375    4389.561
    1998.458    4387.762
    1998.542    4385.910
    1998.625    4384.115
    1998.708    4382.210
    1998.792    4380.406
    1998.875    4378.566
    1998.958    4376.707
    1999.042    4374.178
    1999.125    4370.692
    1999.208    4367.208
    1999.292    4363.715
    1999.375    4360.229
    1999.458    4356.745
    1999.542    4353.539
    1999.625    4350.055
    1999.708    4346.569
    1999.792    4343.076
    1999.875    4339.591
    1999.958    4336.106
    2000.042    4332.641
    2000.125    4328.850
    2000.208    4324.993
    2000.292    4321.139
    2000.375    4317.401
    2000.458    4313.605
    2000.542    4309.823
    2000.625    4306.030
    2000.708    4302.232
    2000.792    4298.378
    2000.875    4294.585
    2000.958    4290.790
    2001.042    4287.302
    2001.125    4284.130
    2001.208    4280.945
    2001.292    4277.754
    2001.375    4274.579
    2001.458    4271.397
    2001.542    4268.326
